"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"12.05.1929 Gesetzgebung Strassenverkehr";"Nein";420082;59543;62204;21050;2534;6450;1966;1630;4061;2740;14825;13771;5235;5772;5780;6561;1684;29219;12743;35127;16966;8398;48956;13034;12500;27333;...
"03.03.1929 Zolltarifgesetz";"Nein";229801;45422;38367;7234;803;2149;653;510;2326;1341;3829;7637;8396;5176;3393;3110;433;18056;3285;20640;7691;4648;24804;4072;8668;7158;...
"03.03.1929 Getreideversorgung (Gegenentwurf)";"Nein";228357;45140;38926;7303;798;2223;641;493;2356;1319;3763;7596;8338;5052;3261;3021;379;17753;3202;20500;7426;4534;24498;4008;8714;7033;...
"03.03.1929 Getreideversorgung (Initiative)";"Nein";672004;104344;106381;30418;3327;8470;2728;2061;5675;4583;26616;24627;16549;13359;9536;9001;2137;52141;19350;52490;25890;16717;71924;28285;16449;18946;...
"02.12.1928 Erhaltung der Kursäle";"Nein";274528;48044;33353;1894;619;1441;370;249;2917;476;8782;4126;7268;6634;4933;4810;751;28039;7285;25504;12251;2604;44162;8697;11003;8316;...
"20.05.1928 Massnahmen gegen die Überfremdung";"Nein";131215;13207;9525;1478;1150;4896;907;416;1210;414;5139;1603;1386;1301;1205;1861;1793;23087;5331;14124;5326;4122;28123;2192;1000;419;...
"15.05.1927 Automobil- und Fahrradverkehr";"Nein";343387;59991;53823;13192;2823;5629;1327;1025;2674;2152;6094;12318;14272;7418;6130;5632;864;32329;7923;35223;11995;2175;32364;2953;12319;10742;...
"15.05.1927 Entschädigung an Kantone für Alpenstrassen";"Nein";199305;27439;31333;7334;360;2327;673;551;1638;1450;5662;5402;4023;4213;3320;3778;937;19300;3884;28425;10533;359;26066;1048;7641;1609;...
"05.12.1926 Getreideversorgung";"Nein";372049;53524;49229;19550;2866;8730;3072;2331;3992;3691;14801;11935;11209;9008;4126;9595;2338;43471;12385;26136;14678;6728;27636;6550;12120;12348;...
"06.12.1925 Bundesbeschluss betreffend die AHV";"Nein";217483;26937;27700;9076;676;5471;1284;1055;2485;2395;14284;5528;3715;3366;4797;4056;1975;18400;6707;18254;10300;1134;35736;6359;2917;2876;...
"25.10.1925 Aufenthalt und Niederlassung Ausländer";"Nein";232272;28942;38128;4580;875;3445;492;500;1296;1676;19746;5752;8369;5197;3857;2490;1499;17426;6391;15073;8499;7926;26941;12690;6117;4365;...
"24.05.1925 Initiative für die AHV/IV";"Nein";390129;48665;58607;22197;2241;6386;2232;1751;3843;3527;23850;10897;6211;4999;5007;6463;2041;32973;12720;29127;18005;6201;51465;14183;8759;7779;...
"17.02.1924 Fabrikgesetz";"Nein";436180;80595;72610;14760;2788;6211;929;796;5242;3637;8541;20464;22116;12685;6705;5174;757;33276;8897;33834;13825;14503;22724;11292;16733;17086;...
"03.06.1923 Alkoholwesen";"Nein";360397;43662;72332;27573;2348;8164;2575;2071;3437;4106;17195;19647;6127;12140;4544;5269;1037;30053;6595;35056;11252;3218;23089;7077;5482;6348;...
"15.04.1923 Zollinitiative";"Nein";467876;70523;76836;27054;2792;7487;2637;1927;4464;3890;24537;14560;7018;8158;7115;7035;2032;38874;17612;36643;21814;10261;36749;18361;11443;8054;...
"18.02.1923 Abkommen mit Frankreich zu Hochsavoyen";"Nein";414305;94679;66250;10018;2860;5657;1158;1087;5684;2788;6138;12408;18395;9552;8840;8618;1579;44634;14329;46396;21580;3760;8863;7237;2814;8981;...
"18.02.1923 Schutzhaft-Initiative";"Nein";445606;89321;63342;10388;2829;5341;1375;1207;5140;2639;16189;11741;17049;8918;8138;8617;1579;44910;15299;44931;22719;7779;22196;12539;8394;13026;...
"03.12.1922 Einmalige Vermögensabgabe";"Nein";736952;100138;132345;39066;4476;12690;3971;3008;7023;6208;33657;24119;19812;14219;8818;11058;3042;56047;23331;45696;28000;21112;66207;28077;23070;21762;...
"24.09.1922 Innere Sicherheit und bedingter Strafvollzug";"Nein";376832;64824;59658;12471;1892;5013;1221;1155;4087;3008;6994;18041;19155;10851;6018;6677;881;34849;10480;32336;13786;10764;18573;8084;10330;15684;...
"11.06.1922 Wählbarkeit der Bundesbeamten";"Nein";257469;41544;35534;12319;1060;2170;1025;892;2071;1185;10112;4134;6249;3089;4708;5624;1749;29606;9506;28313;16205;2680;18552;7941;4504;6697;...
"11.06.1922 Ausweisung von Ausländern";"Nein";258881;39973;31890;13691;1376;2340;905;784;3330;1658;10069;7640;9305;4362;5471;5014;1422;30935;7233;22573;14639;4393;17492;7924;6003;8459;...
"11.06.1922 Einbürgerungswesen";"Nein";347988;58678;47534;15283;1716;2933;1091;937;3916;1822;11489;8962;11905;5598;7099;6521;1675;38877;12066;37685;18644;5069;21210;9129;6787;11362;...
"22.05.1921 Artikel über die Luftschiffahrt";"Nein";127943;24852;15765;2207;758;1226;411;324;1181;574;2886;1901;619;2379;1805;3249;1024;18973;9511;20402;9734;1055;2437;3422;904;344;...
