"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"02.03.1980 Neuordnung Landesversorgung";"Gültige Stimmzettel";1298016;247041;175143;81189;8385;19512;6330;6962;8860;18811;34015;51343;40270;43338;27276;12142;3052;83132;44701;88266;45429;50108;87028;38489;23397;40640;13157
"02.03.1980 Trennung Kirche und Staat";"Gültige Stimmzettel";1334050;256741;177128;83797;8916;19983;6432;7074;9010;19468;34442;51587;40881;43798;28909;12372;3121;85925;47988;92047;46581;50802;89453;39486;23425;40954;13730
"20.05.1979 Atomgesetz";"Gültige Stimmzettel";1427056;290123;207499;71724;9267;21651;5761;7603;8706;19046;34280;55482;51978;48211;28752;12547;2875;80944;35434;95383;43285;56479;98812;35030;33489;59715;12980
"20.05.1979 Umsatz- und direkte Bundessteuer";"Gültige Stimmzettel";1436415;292651;208088;72110;9397;21828;5838;7691;8731;19119;34626;55554;52012;48483;29036;12641;2903;81341;35606;96014;43617;56589;100057;35236;33870;60205;13172
"18.02.1979 Volksrechte und Atomsicherheit";"Gültige Stimmzettel";1886407;370393;290037;95605;11925;26778;8056;9822;11713;25171;45513;75681;67203;72140;31661;15464;3718;110062;45812;135858;58350;67075;125105;49753;42794;74912;15806
"18.02.1979 Gegen Suchtmittelreklame";"Gültige Stimmzettel";1888601;370780;290852;95852;11894;26785;8095;9877;11716;25255;45584;75866;67110;72437;31822;15611;3745;110464;45597;136036;58802;66982;124941;49817;42684;74349;15648
"18.02.1979 Fuss- und Wanderwege";"Gültige Stimmzettel";1891415;371425;291612;96028;11909;26851;8078;9880;11749;25278;45623;76033;67418;72539;31676;15682;3763;110812;45800;136340;58907;67258;124025;49826;42815;74294;15794
"18.02.1979 Stimmrecht für 18-Jährige";"Gültige Stimmzettel";1898822;372464;292064;96298;12029;26876;8115;9906;11762;25320;45924;75982;67517;72707;32079;15704;3753;110910;45975;136506;59070;67869;125899;50050;43073;75063;15907
"03.12.1978 Berufsbildungsgesetz";"Gültige Stimmzettel";1610125;302451;275520;78918;10342;22515;6820;7931;8817;19597;42287;60455;58114;57041;29541;12987;3396;91018;38316;106258;49938;56821;112264;59717;36784;62277;...
"03.12.1978 Sicherheitspolizei";"Gültige Stimmzettel";1644031;310397;279969;79833;10548;22715;6934;8036;8883;19939;43156;60831;59893;58305;30327;13136;3430;92259;39283;108422;50732;58017;116156;60360;37675;64795;...
"03.12.1978 Tierschutzgesetz";"Gültige Stimmzettel";1639297;308981;280030;79818;10481;22698;6932;8039;8907;19913;43084;60832;59533;58145;30171;13256;3435;92551;39547;108251;50860;57553;114927;60174;37481;63698;...
"03.12.1978 Milchwirtschaftsbeschluss";"Gültige Stimmzettel";1594991;297715;273545;78792;10305;22484;6873;7906;8835;19597;42168;60112;57186;56397;29205;12991;3419;90504;38765;105373;49798;55728;110424;59431;36213;61225;...
"24.09.1978 Gründung des Kantons Jura";"Gültige Stimmzettel";1591714;324792;269631;73952;9390;23176;5641;7451;8045;22133;42876;62308;49673;59967;28975;12922;2931;89932;34752;99041;50610;53607;106834;44897;41441;66737;...
"28.05.1978 12 autofreie Sonntage";"Gültige Stimmzettel";1869366;350950;316187;102445;12066;28978;9314;10202;13734;25251;48534;73549;59189;65639;31349;16831;4167;113569;45384;133685;61239;59283;121163;53628;43510;69520;...
"28.05.1978 Hochschulförderung";"Gültige Stimmzettel";1829478;340391;310924;101217;11889;28605;9145;10068;13488;24799;47768;72978;57622;64444;30483;16529;4119;111482;44019;130091;59954;58158;117556;52547;42802;68400;...
"28.05.1978 Schwangerschaftsabbruch";"Gültige Stimmzettel";1792252;332208;302888;99179;11568;28213;8917;9927;13178;24316;46678;72097;56543;62727;29174;16059;4062;109291;43103;127847;58352;57136;116227;52736;41936;67890;...
"28.05.1978 Zolltarifgesetz";"Gültige Stimmzettel";1773075;323544;305663;96972;11193;27616;8692;9934;12960;23693;46711;72208;56335;62886;28312;16141;4057;108889;42491;123999;57786;57742;114707;51259;41508;67777;...
"28.05.1978 Zeitgesetz";"Gültige Stimmzettel";1850238;344806;314916;101374;11974;28709;9255;10188;13599;24783;48381;73284;58596;65250;30677;16723;4141;112546;44859;132223;60656;59069;120361;53194;43298;67376;...
"26.02.1978 Konjunkturartikel";"Gültige Stimmzettel";1714764;321183;281941;83939;10069;24726;6805;8559;9928;20034;70911;70087;60618;58609;26368;13970;3615;98721;38743;110534;52992;64469;117118;48517;42391;69917;...
"26.02.1978 Herabsetzung AHV-Alter";"Gültige Stimmzettel";1828237;348896;294161;88524;10839;25944;7302;8913;10572;21212;76161;71769;65963;61782;29741;14747;3814;104407;42573;118865;57158;69892;126844;51087;44556;72515;...
"26.02.1978 9. AHV-Revision";"Gültige Stimmzettel";1817710;346247;292559;87839;10641;25841;7224;8819;10546;20968;75241;71600;65791;61472;29181;14654;3781;103596;41962;118235;56664;69444;126394;50969;45076;72966;...
"26.02.1978 Mitbestimmung im Nationalstrassenbau";"Gültige Stimmzettel";1800793;344910;290872;87265;10567;25649;7160;8803;10438;20946;74900;71296;64369;61037;28818;14488;3755;102323;41149;116234;56207;67715;124933;50574;44556;71829;...
"04.12.1977 Ausgleich des Bundeshaushaltes";"Gültige Stimmzettel";1392391;286330;233227;64888;9126;20156;5364;7281;8294;16069;34856;56022;47313;50327;26279;11345;2659;79497;33556;89180;44629;47529;84331;42001;32303;59829;...
"04.12.1977 Ziviler Ersatzdienst";"Gültige Stimmzettel";1419601;297628;237057;66149;9299;20459;5465;7370;8409;16162;35489;56673;47484;51159;27592;11731;2710;81966;34681;91912;45846;47857;86129;42320;32961;55093;...
"04.12.1977 Politische Rechte";"Gültige Stimmzettel";1362824;278833;229014;63226;9004;19596;5240;7161;8050;15571;34251;55476;46674;49915;25544;11115;2610;78138;32462;86078;43080;46869;82151;41679;31497;59590;...
"04.12.1977 Reichtumssteuer-Initiative";"Gültige Stimmzettel";1438132;300192;238669;66513;9391;20546;5536;7392;8491;16475;35796;56885;49003;52047;28072;11674;2717;81954;34874;92590;45971;48959;87790;42959;33188;60448;...
"25.09.1977 Fristenlösungs-Initiative";"Gültige Stimmzettel";1924255;360002;295047;108181;12848;31017;9510;10787;10324;26090;52944;77471;65017;66997;30226;15364;4726;122531;47825;140006;59980;73919;121077;66604;41442;74320;...
