"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"24.09.2000 Umweltabgabe";"Abgegebene Stimmen";2099325;391569;300552;114413;10471;39660;10055;12846;10369;32435;73871;78061;62364;81055;30777;17471;3872;129923;45725;146343;61263;69261;142896;66344;42908;106658;18163
"24.09.2000 Förderabgabe";"Abgegebene Stimmen";2090548;389493;300424;113803;10270;39832;10042;12806;10347;32161;73276;77894;61858;81035;30458;17351;3849;127476;45394;145284;60983;69250;143003;66441;43143;106582;18093
"24.09.2000 Solarinitiative";"Abgegebene Stimmen";2090548;389493;300424;113803;10270;39832;10042;12806;10347;32161;73276;77894;61858;81035;30458;17351;3849;127476;45394;145284;60983;69250;143003;66441;43143;106582;18093
"21.05.2000 Bilaterale Abkommen mit der EU";"Abgegebene Stimmen";2253284;399856;301277;126718;13150;43179;10631;14802;11674;35116;71063;81055;65692;85511;31807;19257;4680;125947;52218;150740;65237;100440;167828;76522;54593;121564;22727
"12.03.2000 Verkehrshalbierungs-Initiative";"Abgegebene Stimmen";1974530;351094;293439;108844;13310;42900;9752;11964;9799;30467;64181;74680;61809;74797;32109;18023;4334;124102;46292;143272;59106;58129;127277;62131;37060;97161;18498
"12.03.2000 Menschenwürdige Fortpflanzung";"Abgegebene Stimmen";1966168;348198;293439;108640;13154;42663;9726;11934;9788;30223;64063;74527;61432;74453;32033;17810;4321;122943;45706;142088;58937;58129;127271;62130;37043;97031;18486
"12.03.2000 Quoten-Initiative";"Abgegebene Stimmen";1965541;348186;293435;108443;13158;42644;9725;11933;9773;30181;63937;74518;61435;74452;32036;17888;4326;122918;45797;142115;58927;58129;127270;62129;37056;96666;18464
"12.03.2000 Beschleunigungs-Initiative";"Abgegebene Stimmen";1961705;347480;293440;108212;13038;42538;9717;11907;9770;30094;63845;74465;61191;74205;31997;17795;4317;122458;45559;141717;58562;58129;127242;62127;37060;96444;18396
"12.03.2000 Justizreform";"Abgegebene Stimmen";1953228;344168;293438;107938;12835;42335;9673;11865;9757;29887;63752;74432;60937;74019;31925;17555;4314;121403;44947;140601;58215;58129;127217;62129;37048;96358;18351
"13.06.1999 Mutterschaftsversicherung";"Abgegebene Stimmen";2134884;380056;320310;116324;11834;39576;12268;13969;11265;34514;65864;83378;66669;85494;32151;20358;4892;138711;48808;152779;65850;63480;139321;64322;41690;100610;20391
"13.06.1999 Invalidenversicherung";"Abgegebene Stimmen";2120659;374744;320310;115746;11575;39479;12186;13899;11251;34182;65629;83085;66188;84733;32101;20040;4870;136805;48022;151196;65557;63480;139235;64327;41660;100051;20308
"13.06.1999 Verschreibung von Heroin";"Abgegebene Stimmen";2125369;377112;320315;115857;11604;39556;12224;13917;11250;34270;65690;83184;66508;84919;32138;20109;4888;137300;48114;151537;65729;63480;139302;64345;41575;100144;20302
"13.06.1999 Massnahmen Asyl- und Ausländerbereich";"Abgegebene Stimmen";2119712;374845;320313;115536;11514;39569;12184;13916;11241;34235;65510;83113;66136;84755;32031;19960;4877;136650;47613;151208;65560;63480;139334;64334;41665;99825;20308
"13.06.1999 Asylgesetz";"Abgegebene Stimmen";2117964;374125;320311;115554;11471;39510;12191;13857;11243;34169;65578;83121;66098;84746;32051;19932;4872;136502;47548;150845;65484;63480;139259;64327;41657;99721;20312
"18.04.1999 Neue Bundesverfassung";"Abgegebene Stimmen";1666869;313406;214043;120602;8919;35828;10520;11515;9785;27443;38417;77159;51271;56699;30575;17833;4574;102763;39508;118724;62439;120313;63892;38714;25971;57002;8954
"07.02.1999 Raumplanungsgesetz";"Abgegebene Stimmen";1762026;331311;254828;104728;7761;28862;8204;11304;8238;26516;49778;68833;56634;72471;28782;15742;3761;112899;40608;131173;63765;69376;106834;40160;27538;82109;9811
"07.02.1999 Wohneigentums-Initiative";"Abgegebene Stimmen";1771969;335500;254833;105163;7849;28882;8227;11355;8234;26635;49805;68966;57030;73094;29050;15887;3764;114035;41112;132240;63970;69376;106842;40165;27524;82618;9813
"07.02.1999 Transplantationsmedizin";"Abgegebene Stimmen";1762875;331853;254814;104786;7718;28872;8202;11308;8233;26473;49790;68861;56779;72542;28785;15701;3754;112934;40386;131282;63744;69376;106840;40160;27537;82332;9813
