"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"04.12.1977 Ausgleich des Bundeshaushaltes";"Stimmberechtigte";3816824;681760;631289;177640;21181;56154;15685;17582;22661;42559;112761;135550;141459;131161;42466;29689;8009;227220;98407;259550;104354;145699;305774;131116;97336;179762;...
"04.12.1977 Ziviler Ersatzdienst";"Stimmberechtigte";3816824;681760;631289;177640;21181;56154;15685;17582;22661;42559;112761;135550;141459;131161;42466;29689;8009;227220;98407;259550;104354;145699;305774;131116;97336;179762;...
"04.12.1977 Politische Rechte";"Stimmberechtigte";3816824;681760;631289;177640;21181;56154;15685;17582;22661;42559;112761;135550;141459;131161;42466;29689;8009;227220;98407;259550;104354;145699;305774;131116;97336;179762;...
"04.12.1977 Reichtumssteuer-Initiative";"Stimmberechtigte";3816824;681760;631289;177640;21181;56154;15685;17582;22661;42559;112761;135550;141459;131161;42466;29689;8009;227220;98407;259550;104354;145699;305774;131116;97336;179762;...
"25.09.1977 Fristenlösungs-Initiative";"Stimmberechtigte";3811426;680373;630654;177481;21190;55975;15667;17542;22663;42356;112698;135276;141751;130730;42417;29794;7883;226633;97987;258801;104216;146121;305989;131011;96961;179257;...
"25.09.1977 Unterschriftenzahl für Initiativen";"Stimmberechtigte";3811426;680373;630654;177481;21190;55975;15667;17542;22663;42356;112698;135276;141751;130730;42417;29794;7883;226633;97987;258801;104216;146121;305989;131011;96961;179257;...
"25.09.1977 Unterschriftenzahl für Referenden";"Stimmberechtigte";3811426;680373;630654;177481;21190;55975;15667;17542;22663;42356;112698;135276;141751;130730;42417;29794;7883;226633;97987;258801;104216;146121;305989;131011;96961;179257;...
"25.09.1977 Albatrosinitiative";"Stimmberechtigte";3811426;680373;630654;177481;21190;55975;15667;17542;22663;42356;112698;135276;141751;130730;42417;29794;7883;226633;97987;258801;104216;146121;305989;131011;96961;179257;...
"25.09.1977 Gegenentwurf zur Mieterschutzinitiative";"Stimmberechtigte";3811426;680373;630654;177481;21190;55975;15667;17542;22663;42356;112698;135276;141751;130730;42417;29794;7883;226633;97987;258801;104216;146121;305989;131011;96961;179257;...
"25.09.1977 Mieterschutzinitiative";"Stimmberechtigte";3811426;680373;630654;177481;21190;55975;15667;17542;22663;42356;112698;135276;141751;130730;42417;29794;7883;226633;97987;258801;104216;146121;305989;131011;96961;179257;...
"12.06.1977 Steuerharmonisierung";"Stimmberechtigte";3795796;677906;628190;176502;21115;55686;15626;17373;22562;42016;112128;134977;142028;129787;42408;29695;7841;225424;97536;257610;103750;145030;304583;130524;96929;178570;...
"12.06.1977 Umsatz- und direkte Bundessteuer";"Stimmberechtigte";3795796;677906;628190;176502;21115;55686;15626;17373;22562;42016;112128;134977;142028;129787;42408;29695;7841;225424;97536;257610;103750;145030;304583;130524;96929;178570;...
"13.03.1977 Neuordnung Staatsvertragsreferendum (Gegenentwurf)";"Stimmberechtigte";3785693;675949;624536;175681;20931;55218;15493;17255;22529;41832;111801;134540;142294;129425;42410;29616;7863;225644;98083;256582;103305;144180;304055;130318;96766;179387;...
"13.03.1977 Neuordnung Staatsvertragsreferendum (Initiative)";"Stimmberechtigte";3785693;675949;624536;175681;20931;55218;15493;17255;22529;41832;111801;134540;142294;129425;42410;29616;7863;225644;98083;256582;103305;144180;304055;130318;96766;179387;...
"13.03.1977 Beschränkung der Einbürgerungen";"Stimmberechtigte";3785693;675949;624536;175681;20931;55218;15493;17255;22529;41832;111801;134540;142294;129425;42410;29616;7863;225644;98083;256582;103305;144180;304055;130318;96766;179387;...
"13.03.1977 IV. Ueberfremdungsinitiative";"Stimmberechtigte";3785693;675949;624536;175681;20931;55218;15493;17255;22529;41832;111801;134540;142294;129425;42410;29616;7863;225644;98083;256582;103305;144180;304055;130318;96766;179387;...
"05.12.1976 40-Stunden-Woche";"Stimmberechtigte";3772466;672863;625816;175289;20998;55231;15454;17092;22393;41526;111576;134640;141893;128638;42282;29442;7881;224299;96831;255186;103041;143065;302221;129383;96710;178716;...
"05.12.1976 Preisüberwachung";"Stimmberechtigte";3772466;672863;625816;175289;20998;55231;15454;17092;22393;41526;111576;134640;141893;128638;42282;29442;7881;224299;96831;255186;103041;143065;302221;129383;96710;178716;...
