Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève
803651;681520;235599;25445;88576;22747;27866;24757;66501;162268;165380;117414;177870;47957;35803;10144;289872;128926;360199;144779;198001;371470;187229;104724;217280
801371;680119;234831;25438;88055;22679;27729;24696;66049;161605;164901;117631;177215;48385;35773;10101;288416;128730;359122;144139;197350;370854;186215;104645;216438
801371;680119;234831;25438;88055;22679;27729;24696;66049;161605;164901;117631;177215;48385;35773;10101;288416;128730;359122;144139;197350;370854;186215;104645;216438
799376;679161;234381;25443;87810;22592;27687;24669;65997;161179;164674;117782;177060;48217;35751;10092;287615;129005;357968;143884;196775;369687;186278;104456;215860
799376;679161;234381;25443;87810;22592;27687;24669;65997;161179;164674;117782;177060;48217;35751;10092;287615;129005;357968;143884;196775;369687;186278;104456;215860
797993;678411;234106;25431;87387;22541;27492;24607;65684;160661;164576;118034;176690;48087;35749;9958;286882;128556;357261;143649;196321;369124;185642;104496;215222
797993;678411;234106;25431;87387;22541;27492;24607;65684;160661;164576;118034;176690;48087;35749;9958;286882;128556;357261;143649;196321;369124;185642;104496;215222
797993;678411;234106;25431;87387;22541;27492;24607;65684;160661;164576;118034;176690;48087;35749;9958;286882;128556;357261;143649;196321;369124;185642;104496;215222
797993;678411;234106;25431;87387;22541;27492;24607;65684;160661;164576;118034;176690;48087;35749;9958;286882;128556;357261;143649;196321;369124;185642;104496;215222
797993;678411;234106;25431;87387;22541;27492;24607;65684;160661;164576;118034;176690;48087;35749;9958;286882;128556;357261;143649;196321;369124;185642;104496;215222
794109;677735;233288;25465;86787;22441;27309;24614;65434;159837;164267;118411;176655;48049;35709;10063;286060;128498;355430;143055;195550;368278;184937;104535;213949
794109;677735;233288;25465;86787;22441;27309;24614;65434;159837;164267;118411;176655;48049;35709;10063;286060;128498;355430;143055;195550;368278;184937;104535;213949
794109;677735;233288;25465;86787;22441;27309;24614;65434;159837;164267;118411;176655;48049;35709;10063;286060;128498;355430;143055;195550;368278;184937;104535;213949
791643;676680;232622;25429;86485;22352;27267;24566;65236;159289;164145;118787;176391;47977;35600;10018;285631;128444;354643;142678;195100;367725;184643;104410;212795
791643;676680;232622;25429;86485;22352;27267;24566;65236;159289;164145;118787;176391;47977;35600;10018;285631;128444;354643;142678;195100;367725;184643;104410;212795
791643;676680;232622;25429;86485;22352;27267;24566;65236;159289;164145;118787;176391;47977;35600;10018;285631;128444;354643;142678;195100;367725;184643;104410;212795
